Location,Violation_Type,Fine_Amount,Speed_Limit,Recorded_Speed,Alcohol_Level,Driver_Age,Vehicle_Type,Previous_Violations,Fine_Paid
Porur,Speeding,1127,40,35,0.09,49,Private,3,Yes
T Nagar,Signal Jump,1086,50,87,0.03,47,Private,3,Yes
Kodambakkam,Speeding,1943,50,73,0.06,46,Commercial,2,Yes
Porur,Speeding,1945,50,74,0.07,66,Private,1,Yes
Velachery,Signal Jump,603,40,61,0.13,62,Private,4,Yes
Guindy,Speeding,753,50,74,0.11,46,Private,4,No
Kodambakkam,Signal Jump,1750,50,90,0.07,47,Commercial,4,No
Kodambakkam,Signal Jump,1635,40,76,0.2,33,Private,2,No
Porur,Signal Jump,1009,60,50,0.12,57,Commercial,3,Yes
Tambaram,Speeding,1996,40,65,0.05,36,Commercial,2,No
Velachery,Speeding,598,50,48,0.02,35,Private,4,Yes
Porur,Speeding,652,50,49,0.03,18,Private,1,Yes
Velachery,Speeding,1413,40,86,0.05,31,Private,0,No
Velachery,Speeding,1377,60,47,0.03,68,Commercial,3,Yes
Guindy,Speeding,837,50,76,0.04,64,Private,3,Yes
Kodambakkam,Speeding,1321,50,78,0.06,67,Private,2,No
T Nagar,Signal Jump,1686,50,43,0.03,19,Private,3,No
Guindy,Speeding,1456,40,44,0.18,45,Private,4,No
Guindy,Signal Jump,660,50,60,0.02,66,Private,4,Yes
Velachery,Speeding,1300,60,30,0.1,67,Commercial,2,No
Adyar,Speeding,897,50,83,0.08,47,Commercial,4,No
Kodambakkam,Speeding,1800,50,32,0.2,55,Private,1,Yes
Tambaram,Signal Jump,1315,60,45,0.02,68,Private,2,No
Guindy,Signal Jump,1915,50,86,0.08,21,Private,1,No
T Nagar,Signal Jump,1658,40,41,0.19,18,Private,0,No
Adyar,Signal Jump,1718,40,45,0.17,25,Commercial,1,Yes
Adyar,Speeding,900,40,53,0.16,46,Private,0,Yes
Tambaram,Signal Jump,1139,60,57,0.05,56,Commercial,0,Yes
Guindy,Speeding,1556,50,37,0.03,20,Commercial,1,Yes
T Nagar,Speeding,1187,40,65,0.13,49,Private,2,No
Kodambakkam,Signal Jump,959,60,37,0.19,27,Commercial,4,Yes
Anna Nagar,Signal Jump,1454,50,87,0.11,27,Commercial,4,Yes
T Nagar,Signal Jump,969,60,89,0.11,36,Commercial,0,No
Tambaram,Signal Jump,1898,40,79,0.06,63,Commercial,0,No
Adyar,Signal Jump,1545,40,57,0.15,51,Private,2,No
Kodambakkam,Signal Jump,1249,40,70,0.04,50,Private,3,Yes
